iter	Passed	Remaining
0	143	143447
1	144	72260
2	145	48399
3	146	36460
4	147	29306
5	148	24530
6	149	21158
7	150	18623
8	151	16698
9	152	15101
10	153	13788
11	154	12692
12	154	11765
13	155	10967
14	156	10277
15	157	9672
16	158	9142
17	158	8668
18	159	8247
19	160	7868
20	161	7525
21	162	7213
22	163	6924
23	164	6692
24	165	6467
25	166	6244
26	167	6035
27	168	5840
28	169	5659
29	169	5489
30	170	5332
31	171	5184
32	172	5044
33	172	4912
34	173	4787
35	174	4669
36	175	4558
37	175	4452
38	176	4353
39	177	4258
40	178	4186
41	180	4127
42	182	4061
43	183	3982
44	184	3905
45	184	3833
46	185	3762
47	186	3695
48	187	3633
49	187	3571
50	188	3510
51	189	3452
52	190	3398
53	190	3345
54	192	3299
55	193	3257
56	194	3210
57	194	3165
58	195	3120
59	196	3079
60	197	3038
61	198	3001
62	199	2964
63	200	2926
64	200	2889
65	201	2853
66	202	2819
67	203	2785
68	204	2754
69	204	2723
70	205	2692
71	206	2666
72	208	2643
73	209	2620
74	210	2594
75	211	2567
76	211	2540
77	212	2513
78	213	2488
79	214	2464
80	215	2441
81	216	2419
82	216	2392
83	217	2371
84	218	2349
85	219	2328
86	219	2308
87	220	2288
88	222	2273
89	223	2257
90	224	2245
91	225	2226
92	226	2207
93	227	2189
94	227	2171
95	228	2154
96	229	2136
97	230	2120
98	231	2104
99	232	2089
100	233	2074
101	233	2059
102	234	2046
103	235	2031
104	236	2019
105	238	2008
106	240	2003
107	240	1989
108	241	1975
109	242	1962
110	243	1948
111	244	1935
112	244	1921
113	245	1908
114	246	1896
115	247	1884
116	247	1870
117	248	1858
118	249	1846
119	250	1836
120	251	1825
121	252	1818
122	253	1807
123	254	1797
124	255	1787
125	256	1777
126	257	1767
127	258	1759
128	259	1749
129	259	1739
130	260	1728
131	261	1718
132	262	1709
133	262	1699
134	263	1689
135	264	1680
136	265	1671
137	266	1663
138	267	1657
139	269	1653
140	270	1646
141	270	1636
142	271	1627
143	272	1619
144	273	1611
145	273	1602
146	274	1594
147	275	1586
148	276	1578
149	277	1571
150	278	1563
151	278	1556
152	279	1548
153	280	1542
154	282	1538
155	283	1532
156	284	1525
157	284	1518
158	285	1511
159	286	1504
160	287	1496
161	288	1490
162	289	1484
163	290	1478
164	290	1472
165	291	1466
166	292	1459
167	293	1452
168	294	1446
169	295	1440
170	295	1434
171	297	1430
172	298	1427
173	299	1422
174	300	1416
175	301	1410
176	301	1404
177	302	1398
178	303	1392
179	304	1386
180	305	1381
181	306	1375
182	306	1370
183	307	1364
184	308	1359
185	309	1354
186	310	1348
187	311	1343
188	312	1341
189	314	1339
190	315	1335
191	316	1330
192	316	1325
193	317	1319
194	318	1314
195	319	1309
196	320	1304
197	320	1300
198	322	1296
199	322	1291
200	323	1287
201	324	1282
202	325	1277
203	326	1275
204	328	1273
205	329	1270
206	330	1266
207	331	1262
208	332	1257
209	333	1252
210	333	1248
211	334	1244
212	335	1239
213	336	1236
214	337	1231
215	338	1227
216	338	1223
217	339	1218
218	340	1214
219	341	1212
220	343	1209
221	344	1205
222	344	1201
223	345	1197
224	346	1193
225	347	1189
226	348	1185
227	349	1181
228	350	1178
229	351	1175
230	352	1171
231	352	1167
232	353	1164
233	354	1160
234	355	1156
235	356	1155
236	357	1152
237	359	1150
238	360	1146
239	361	1143
240	361	1139
241	362	1135
242	363	1132
243	364	1128
244	365	1125
245	366	1122
246	367	1119
247	368	1115
248	368	1112
249	369	1108
250	370	1105
251	372	1104
252	373	1103
253	374	1100
254	375	1097
255	376	1093
256	377	1090
257	377	1086
258	378	1083
259	379	1080
260	380	1077
261	381	1074
262	382	1071
263	383	1069
264	384	1066
265	385	1063
266	387	1062
267	388	1059
268	389	1057
269	389	1054
270	390	1051
271	391	1048
272	392	1045
273	393	1043
274	394	1040
275	395	1037
276	396	1034
277	397	1031
278	397	1028
279	398	1025
280	399	1022
281	400	1019
282	401	1018
283	403	1016
284	404	1014
285	404	1011
286	405	1007
287	406	1005
288	407	1002
289	408	999
290	408	996
291	409	993
292	410	990
293	411	988
294	412	985
295	413	982
296	414	980
297	414	977
298	415	974
299	417	973
300	418	971
301	419	969
302	420	966
303	420	963
304	421	961
305	422	958
306	423	955
307	424	953
308	425	950
309	425	947
310	426	945
311	427	942
312	428	940
313	429	938
314	430	936
315	437	946
316	439	946
317	440	944
318	441	941
319	441	939
320	442	936
321	443	933
322	444	931
323	445	929
324	446	927
325	448	926
326	449	924
327	450	922
328	451	920
329	451	917
330	452	914
331	453	912
332	454	909
333	454	907
334	455	904
335	456	902
336	457	899
337	458	897
338	458	894
339	459	892
340	460	890
341	461	888
342	462	886
343	464	884
344	465	882
345	465	880
346	466	878
347	467	875
348	468	873
349	468	870
350	469	868
351	470	866
352	471	863
353	472	861
354	472	859
355	473	857
356	474	854
357	475	852
358	476	851
359	477	849
360	478	847
361	480	846
362	481	844
363	481	841
364	482	839
365	483	837
366	484	836
367	485	834
368	486	832
369	487	829
370	488	827
371	488	825
372	489	823
373	490	820
374	491	818
375	493	818
376	494	817
377	495	815
378	496	813
379	497	811
380	498	809
381	498	807
382	499	805
383	500	803
384	501	801
385	502	799
386	503	796
387	503	794
388	504	793
389	505	790
390	507	789
391	509	790
392	510	788
393	511	787
394	512	785
395	513	783
396	514	781
397	515	780
398	516	778
399	517	776
400	518	774
401	519	773
402	520	771
403	522	770
404	523	768
405	523	766
406	524	764
407	525	762
408	526	761
409	527	759
410	528	757
411	529	755
412	530	753
413	531	752
414	532	750
415	533	748
416	534	746
417	535	745
418	536	744
419	538	744
420	540	742
421	540	740
422	541	739
423	542	737
424	543	735
425	544	733
426	545	731
427	546	729
428	547	728
429	548	726
430	549	725
431	550	723
432	551	722
433	552	720
434	554	719
435	555	717
436	555	716
437	556	714
438	557	712
439	558	711
440	559	709
441	560	707
442	561	705
443	562	703
444	562	701
445	563	700
446	564	698
447	565	696
448	567	696
449	569	695
450	570	694
451	571	692
452	572	691
453	573	689
454	574	687
455	575	686
456	576	684
457	576	682
458	577	680
459	578	679
460	579	677
461	580	675
462	582	675
463	584	674
464	585	673
465	586	671
466	586	669
467	587	668
468	588	666
469	589	664
470	590	663
471	591	661
472	592	659
473	593	658
474	593	656
475	594	654
476	595	653
477	597	652
478	599	651
479	600	650
480	601	648
481	602	647
482	602	645
483	603	643
484	604	642
485	605	640
486	606	638
487	607	637
488	608	635
489	609	633
490	609	632
491	612	632
492	613	631
493	614	629
494	615	628
495	616	626
496	617	624
497	618	623
498	619	621
499	620	620
500	620	618
501	621	616
502	622	615
503	623	613
504	624	612
505	625	610
506	627	610
507	629	609
508	629	607
509	630	606
510	631	604
511	632	603
512	633	601
513	634	600
514	635	598
515	636	596
516	637	595
517	638	593
518	639	592
519	639	590
520	641	590
521	643	589
522	644	587
523	645	586
524	646	584
525	647	583
526	648	581
527	648	580
528	649	578
529	650	576
530	651	575
531	652	574
532	653	572
